transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_088,Minister of Education,cabinetMinister,National Apprenticeship and Industrial Training Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_089,Minister of Education,cabinetMinister,National Colleges of Education,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_090,Minister of Education,cabinetMinister,National Education Commission,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_091,Minister of Education,cabinetMinister,National Engineering Research And Development Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_092,Minister of Education,cabinetMinister,National Innovation Agency,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_093,Minister of Education,cabinetMinister,National Institute of Business Management and affiliated institutions,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_094,Minister of Education,cabinetMinister,National Institute of Education,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_095,Minister of Education,cabinetMinister,National Institute of Fisheries and Nautical Engineering (Ocean University),department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_096,Minister of Education,cabinetMinister,National Institute of Fundamental Studies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_097,Minister of Education,cabinetMinister,National Library and Documentation Services Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_098,Minister of Education,cabinetMinister,National Research Council,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_099,Minister of Education,cabinetMinister,National Science Foundation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_100,Minister of Education,cabinetMinister,National Science and Technology Commission,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_101,Minister of Education,cabinetMinister,Piriven Education Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_102,Minister of Education,cabinetMinister,Planetarium of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_103,Minister of Education,cabinetMinister,Skills Development Fund Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_104,Minister of Education,cabinetMinister,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_105,Minister of Education,cabinetMinister,Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_106,Minister of Education,cabinetMinister,Sri Lanka Inventors' Commission,department,AS_DEPARTMENT,2024-09-25
